symbol,name,lastsale,netchange,pctchange,marketCap,country,ipoyear,volume,sector,industry,url
A,Agilent Technologies Inc. Common Stock,$154.08,2.80,1.851%,45153958159.00,United States,1999,1524628,Industrials,Electrical Products,/market-activity/stocks/a
AA,Alcoa Corporation Common Stock ,$40.04,0.21,0.527%,7189569908.00,United States,2016,5736488,Industrials,Aluminum,/market-activity/stocks/aa
AACG,ATA Creativity Global American Depositary Shares,$0.9303,0.0104,1.131%,29769721.00,China,2008,8086,Real Estate,Other Consumer Services,/market-activity/stocks/aacg
AACI,Armada Acquisition Corp. I Common Stock,$11.37,-0.03,-0.263%,0.00,United States,2021,31365,Finance,Blank Checks,/market-activity/stocks/aaci
AACIU,Armada Acquisition Corp. I Unit,$11.43,0.32,2.88%,0.00,United States,2021,100,Finance,Blank Checks,/market-activity/stocks/aaciu
AACIW,Armada Acquisition Corp. I Warrant,$0.12,-0.0101,-7.763%,0.00,United States,2021,6669,Finance,Blank Checks,/market-activity/stocks/aaciw
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$10.6217,0.0417,0.394%,0.00,,2023,23504,Finance,Blank Checks,/market-activity/stocks/aact
AADI,Aadi Bioscience Inc. Common Stock,$1.84,-0.04,-2.128%,45179737.00,United States,,84059,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/aadi
AAGR,African Agriculture Holdings Inc. Common Stock,$0.3751,-0.0005,-0.133%,21705848.00,United States,2021,28726,Consumer Staples,Farming/Seeds/Milling,/market-activity/stocks/aagr
AAGRW,African Agriculture Holdings Inc. Warrant,$0.0113,-0.0001,-0.877%,653895.00,United States,2021,2494,Consumer Staples,Farming/Seeds/Milling,/market-activity/stocks/aagrw
AAL,American Airlines Group Inc. Common Stock,$14.94,-0.25,-1.646%,9801989739.00,United States,,25958766,Consumer Discretionary,Air Freight/Delivery Services,/market-activity/stocks/aal
AAMC,Altisource Asset Management Corp Com,$3.13,0.13,4.333%,7995623.00,United States,,2286,Finance,Real Estate,/market-activity/stocks/aamc
AAME,Atlantic American Corporation Common Stock,$1.76,-0.025,-1.401%,35908027.00,United States,,2244,Finance,Life Insurance,/market-activity/stocks/aame
AAN,Aarons Holdings Company Inc. Common Stock ,$7.40,-0.19,-2.503%,226629055.00,United States,2020,126512,Miscellaneous,Diversified Commercial Services,/market-activity/stocks/aan
AAOI,Applied Optoelectronics Inc. Common Stock,$11.01,-0.15,-1.344%,428376342.00,United States,2013,1983008,Technology,Semiconductors,/market-activity/stocks/aaoi
AAON,AAON Inc. Common Stock,$75.82,0.42,0.557%,6233107685.00,United States,,1001888,Industrials,Industrial Machinery/Components,/market-activity/stocks/aaon
AAP,Advance Auto Parts Inc.,$75.86,0.22,0.291%,4517542046.00,United States,,1274550,Consumer Discretionary,Auto & Home Supply Stores,/market-activity/stocks/aap
AAPL,Apple Inc. Common Stock,$189.72,2.29,1.222%,2909182037040.00,United States,1980,70355131,Technology,Computer Manufacturing,/market-activity/stocks/aapl
AAT,American Assets Trust Inc. Common Stock,$22.62,0.03,0.133%,1377415449.00,United States,2011,152665,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/aat
AB,AllianceBernstein Holding L.P.  Units,$34.18,0.66,1.969%,3936291985.00,United States,,365698,Finance,Investment Managers,/market-activity/stocks/ab
ABAT,American Battery Technology Company Common Stock,$1.31,0.00,0.00%,67969260.00,United States,,394307,Basic Materials,Metal Mining,/market-activity/stocks/abat
ABBV,AbbVie Inc. Common Stock,$163.79,2.20,1.361%,289231483850.00,United States,2012,5260824,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/abbv
ABCB,Ameris Bancorp Common Stock,$50.20,0.29,0.581%,3469184452.00,United States,1994,217753,Finance,Major Banks,/market-activity/stocks/abcb
ABCL,AbCellera Biologics Inc. Common Shares,$3.70,-0.12,-3.141%,1070616708.00,Canada,2020,1025706,Health Care,Pharmaceuticals and Biotechnology,/market-activity/stocks/abcl
ABEO,Abeona Therapeutics Inc. Common Stock,$4.71,0.51,12.143%,128842224.00,United States,,1101517,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/abeo
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.39,0.03,1.271%,37651661549.00,Brazil,2013,16055885,Consumer Staples,Beverages (Production/Distribution),/market-activity/stocks/abev
ABG,Asbury Automotive Group Inc Common Stock,$239.73,-3.26,-1.342%,4835890376.00,United States,2002,152699,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,/market-activity/stocks/abg
ABIO,ARCA biopharma Inc. Common Stock,$3.72,0.40,12.048%,53966572.00,United States,,198078,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,/market-activity/stocks/abio
ABL,Abacus Life Inc. Class A Common Stock,$11.97,0.29,2.483%,765186033.00,United States,2020,7985,Finance,Investment Managers,/market-activity/stocks/abl
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.05,0.04,0.16%,1601329166.00,United States,,13097,Finance,Investment Managers,/market-activity/stocks/ablll
ABLLW,Abacus Life Inc. Warrant,$0.37,-0.0254,-6.424%,23652367.00,United States,2020,115908,Finance,Investment Managers,/market-activity/stocks/abllw
ABLV,Able View Global Inc. Class B Ordinary Shares,$1.67,0.12,7.742%,70739919.00,China,,14767,Consumer Discretionary,Other Consumer Services,/market-activity/stocks/ablv
ABM,ABM Industries Incorporated Common Stock,$46.02,0.07,0.152%,2912674094.00,United States,,377771,Finance,Diversified Commercial Services,/market-activity/stocks/abm
ABNB,Airbnb Inc. Class A Common Stock,$145.80,-0.90,-0.613%,93901588227.00,United States,2020,5994211,Finance,Diversified Commercial Services,/market-activity/stocks/abnb
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$3.80,0.11,2.981%,228303156.00,United States,2021,213701,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/abos
ABR,Arbor Realty Trust Common Stock,$14.68,-0.42,-2.781%,2767395209.00,United States,2004,7354473,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/abr
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$18.60,0.18,0.977%,,United States,,7089,,,/market-activity/stocks/abr^d
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$18.30,0.30,1.667%,,United States,,4257,,,/market-activity/stocks/abr^e
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$20.00,0.71,3.681%,,United States,,10403,,,/market-activity/stocks/abr^f
ABSI,Absci Corporation Common Stock,$4.825,-0.005,-0.104%,544185579.00,United States,2021,597357,Health Care,Biotechnology: Commercial Physical & Biological Resarch,/market-activity/stocks/absi
ABT,Abbott Laboratories Common Stock,$104.59,0.58,0.558%,181948294854.00,United States,,5437984,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/abt
